Title,Region,Suburb,BodyStyle,Year,Odometer,Fuel,Transmission,EngineSize,Cylinders,Seats,ExteriorColour,Model,ModelDetail,Make,Price,LogPrice
2016 Toyota Prius PHEV,Whanganui,Whanganui,Hatchback,2016,65000,Plug-in hybrid,Automatic,1797.0,0,0,White,Prius,PHEV,Toyota,12000,9.392661928770137
2017 Toyota Vellfire,Auckland,Auckland City,Station Wagon,2017,59500,Petrol,Automatic,3456.0,0,0,White,Vellfire,,Toyota,38999,10.571291283757406
2016 Toyota Aqua,Auckland,Auckland City,Hatchback,2016,153000,Hybrid,Automatic,1496.0,0,0,White,Aqua,,Toyota,7990,8.98594603876032
2021 Toyota Yaris GR Yaris,Waikato,Tokoroa/Putaruru,Hatchback,2021,6300,Petrol,Manual,1618.0,0,4,White,Yaris,GR Yaris,Toyota,43500,10.680516217076775
2018 Toyota Vitz,Auckland,Waitakere,Hatchback,2018,72000,Hybrid,Automatic,1496.0,0,0,White,Vitz,,Toyota,13357,9.499795870977106
2022 Toyota Corolla Sport,Auckland,Waitakere,Hatchback,2022,8600,Hybrid,Automatic,1797.0,4,5,SILVER,Corolla,Sport,Toyota,28379,10.25340471401148
2020 Toyota Corolla Touring,Auckland,Waitakere,Station Wagon,2020,141827,Hybrid,Automatic,1797.0,4,5,white ,Corolla,Touring,Toyota,16999,9.74090979777877
2015 Toyota Highlander Gxl,Auckland,Waitakere,RV/SUV,2015,110000,Petrol,Automatic,3456.0,0,7,Black,Highlander,Gxl,Toyota,29500,10.292145542327912
2012 Toyota Aqua Hybrid,Auckland,Auckland City,Hatchback,2012,120000,Hybrid,Automatic,1496.0,0,0,Blue,Aqua,Hybrid,Toyota,7200,8.881836305004146
2014 Toyota Hiace Zl Td,Auckland,Manukau,Van,2014,259999,Diesel,Manual,2982.0,0,3,Yellow,Hiace,Zl Td,Toyota,14999,9.61573881119536
2014 Toyota 86,Southland,Bluff,Coupe,2014,67482,Petrol,Automatic,1990.0,0,0,White,86,,Toyota,17000,9.740968623038354
2018 Toyota Camry Gl,Canterbury,Christchurch City,Sedan,2018,115000,Petrol,Automatic,2494.0,0,5,White,Camry,Gl,Toyota,15000,9.615805480084347
2018 Toyota RAV4 Gx Suv,Canterbury,Christchurch City,RV/SUV,2018,82000,Petrol,Automatic,2494.0,0,5,White,RAV4,Gx Suv,Toyota,23000,10.043249494911286
2012 Toyota Camry **G Package (Cruise Control)**,Waikato,Hamilton,Sedan,2012,98000,Hybrid,Automatic,2493.0,0,0,Black,Camry,**G Package (Cruise Control)**,Toyota,13580,9.516353401112687
2018 Toyota C-HR G ( Two Tone),Waikato,Hamilton,Station Wagon,2018,73949,Hybrid,Automatic,1797.0,0,5,Silver,C-HR,G ( Two Tone),Toyota,23380,10.05963623502606
2016 Toyota Hiace ZL TD,Bay of Plenty,Tauranga,Van,2016,130366,Diesel,Manual,2982.0,0,2,White,Hiace,ZL TD,Toyota,32000,10.373491181781864
2017 Toyota Vellfire V6,Wellington,Wellington City,Station Wagon,2017,58500,Petrol,Automatic,3456.0,0,0,Black,Vellfire,V6,Toyota,59500,10.993731591533722
2014 Toyota Hilux Td Dc,Taranaki,New Plymouth,Ute,2014,238700,Diesel,Manual,2982.0,0,5,White,Hilux,Td Dc,Toyota,15000,9.615805480084347
2012 Toyota Aqua,Otago,Dunedin,Hatchback,2012,117674,Hybrid,Automatic,1490.0,0,0,White,Aqua,,Toyota,8500,9.047821442478408
2019 Toyota Corolla Touring,Auckland,Waitakere,Station Wagon,2019,8200,Petrol,Automatic,1800.0,4,5,Orange,Corolla,Touring ,Toyota,24989,10.126191007021934
2018 Toyota Land Cruiser Vx,Canterbury,Rangiora,RV/SUV,2018,110600,Diesel,Automatic,4461.0,8,8,Silver,Land Cruiser,Vx,Toyota,115000,11.652687407345388
2022 Toyota C-HR,Auckland,Botany Downs,RV/SUV,2022,35600,Hybrid,Automatic,1798.0,0,5,Red,C-HR,,Toyota,32500,10.388995368317829
2012 Toyota Corolla Axio G,Auckland,Franklin,Sedan,2012,104278,Petrol,Manual,1496.0,0,0,White,Corolla,Axio G,Toyota,8500,9.047821442478408
2017 Toyota Aqua Hybrid G // Low Kms // Gen 3 // N,Auckland,Auckland City,Hatchback,2017,78000,Hybrid,Automatic,1500.0,4,0,blue,Aqua,Hybrid G // Low Kms // Gen 3 // NZ Navigation,Toyota,14480,9.580523665939708
2024 Toyota Aqua,Auckland,Waitakere,Hatchback,2024,2990,Hybrid,Automatic,1490.0,0,0,Silver,Aqua,,Toyota,25999,10.165813354725493
2014 Toyota Hilux Td Dc,West Coast,Greymouth,Ute,2014,116500,Diesel,Manual,2982.0,0,5,White,Hilux,Td Dc,Toyota,17500,9.769956159911606
2017 Toyota Hiace Zl Td,Auckland,Hibiscus Coast,Van,2017,147393,Diesel,Manual,2982.0,0,2,White,Hiace,Zl Td,Toyota,27900,10.236381967809457
2015 Toyota Aqua,Canterbury,Christchurch City,Hatchback,2015,85700,Hybrid,,1496.0,0,0,White,Aqua,,Toyota,9800,9.190137664658664
2014 Toyota Hiace Regius Ace,Wellington,Lower Hutt City,Van,2014,184753,Diesel,Automatic,2982.0,0,0,White,Hiace,Regius Ace,Toyota,25500,10.146433731146518
2018 Toyota RAV4 Ltd Suv,Auckland,Franklin,RV/SUV,2018,127366,Petrol,Automatic,2494.0,0,5,White,RAV4,Ltd Suv,Toyota,29000,10.275051108968611
2017 Toyota RAV4 Gxl Suv,Otago,Wanaka,RV/SUV,2017,93000,Petrol,Automatic,2494.0,0,5,Grey,RAV4,Gxl Suv,Toyota,25000,10.126631103850338
2019 Toyota Aqua,Auckland,Waitakere,Hatchback,2019,77968,Hybrid,Automatic,1496.0,0,0,Silver,Aqua,,Toyota,12999,9.47262771040802
2013 Toyota Prius Alpha,Auckland,Waitakere,Station Wagon,2013,51880,Hybrid,Automatic,1797.0,4,5,silver,Prius,Alpha,Toyota,23999,10.085767441795337
2021 Toyota Prius,Auckland,Waitakere,Hatchback,2021,68000,Hybrid,Automatic,1797.0,4,5,Silver,Prius,,Toyota,22999,10.043206015705211
2024 Toyota Hilux Sr Td Dc/Cc,Otago,Queenstown,Ute,2024,11146,Diesel,Manual,2755.0,0,5,Silver,Hilux,Sr Td Dc/Cc,Toyota,69500,11.149082031552883
"2013 Toyota 86 6 Speed Manual // 18"" Alloys // Nur",Auckland,Auckland City,Coupe,2013,107000,Petrol,Manual,2000.0,4,0,Black,86,"6 Speed Manual // 18"" Alloys // Nur-Spec Exhaust",Toyota,19995,9.90323752128092
2017 Toyota C-HR G spec,Auckland,Waitakere,Hatchback,2017,55582,Hybrid,Automatic,1797.0,4,5,Red,C-HR,G spec ,Toyota,23999,10.085767441795337
2017 Toyota Hiace Zl,Wellington,Wellington City,Van,2017,377543,Petrol,Manual,2694.0,0,2,White,Hiace,Zl,Toyota,14000,9.546812608597396
2015 Toyota Hilux Sr5 Td Dc,Bay of Plenty,Tauranga,Ute,2015,111000,Diesel,Manual,2982.0,4,5,White,Hilux,Sr5 Td Dc,Toyota,42000,10.645424897265505
"2015 Toyota Hiace Minibus Td 12 SEATER, HIGHROOF,",Auckland,Botany Downs,RV/SUV,2015,202500,Diesel,Automatic,3000.0,0,12,White,Hiace,"Minibus Td 12 SEATER, HIGHROOF, TIDY, SERVICED",Toyota,37500,10.532096211958502
2013 Toyota Aqua,Auckland,Manukau,Hatchback,2013,78000,Hybrid,Automatic,1496.0,0,0,Orange,Aqua,,Toyota,10500,9.259130536145614
2014 Toyota Aqua G Leather,Wellington,Kapiti,Hatchback,2014,113876,Hybrid,Automatic,1496.0,0,0,White,Aqua,G Leather,Toyota,10990,9.304741047397666
2018 Toyota Aqua L Spec Synergy Hybrid,Canterbury,Geraldine,Hatchback,2018,96500,Hybrid,Automatic,1496.0,4,5,Alaskan Sunset,Aqua,L Spec Synergy Hybrid,Toyota,11500,9.350102314351341
2017 Toyota Aqua L Spec Synergy Drive Hatch,Canterbury,Geraldine,Hatchback,2017,99980,Hybrid,Automatic,1496.0,4,5,Alaskan Sunset,Aqua,L Spec Synergy Drive Hatch,Toyota,11850,9.380083146563278
2021 Toyota Corolla WXB,Auckland,Auckland,Sedan,2021,42000,Hybrid,Automatic,1797.0,0,5,Black,Corolla,WXB,Toyota,29990,10.308619271743055
